"","Date","hour","MeterID","MonthRead","count","fd"
"318","2018-01-04",2,1030664,52,1440,5
"319","2018-01-04",3,1030664,43,1440,4
"320","2018-01-04",4,1030664,18,1440,1
"321","2018-01-04",5,1030664,3,1440,3
"322","2018-01-04",6,1030664,49,1440,4
"323","2018-01-04",7,1030664,84,1440,8
"324","2018-01-04",8,1030664,47,1440,4
"325","2018-01-04",9,1030664,44,1440,4
"326","2018-01-04",10,1030664,55,1440,5
"327","2018-01-04",11,1030664,127,1440,1
"328","2018-01-04",12,1030664,42,1440,4
"329","2018-01-05",1,1030664,38,1440,3
"330","2018-01-05",2,1030664,40,1440,4
"331","2018-01-05",3,1030664,33,1440,3
"332","2018-01-05",4,1030664,17,1440,1
"333","2018-01-05",5,1030664,7,1440,7
"334","2018-01-05",6,1030664,46,1440,4
"335","2018-01-05",7,1030664,20,1440,2
"336","2018-01-05",8,1030664,38,1440,3
"337","2018-01-05",9,1030664,67,1440,6
"338","2018-01-05",10,1030664,26,1440,2
"339","2018-01-05",11,1030664,53,1440,5
"340","2018-01-05",12,1030664,46,1440,4
"341","2018-01-06",2,1030664,5,1440,5
"342","2018-01-06",3,1030664,6,1440,6
"343","2018-01-06",4,1030664,7,1440,7
"344","2018-01-06",5,1030664,2,1440,2
"345","2018-01-06",7,1030664,1,1440,1
"346","2018-01-06",9,1030664,1,1440,1
"347","2018-01-06",12,1030664,4,1440,4
"348","2018-01-07",1,1030664,7,1440,7
"349","2018-01-07",2,1030664,16,1440,1
"350","2018-01-07",3,1030664,4,1440,4
"351","2018-01-07",4,1030664,1,1440,1
"352","2018-01-07",6,1030664,1,1440,1
"353","2018-01-07",7,1030664,1,1440,1
"354","2018-01-07",10,1030664,3,1440,3
"355","2018-01-07",11,1030664,1,1440,1
"356","2018-01-07",12,1030664,10,1440,1
"357","2018-01-08",1,1030664,23,1440,2
"358","2018-01-08",2,1030664,32,1440,3
"359","2018-01-08",3,1030664,22,1440,2
"360","2018-01-08",4,1030664,23,1440,2
"361","2018-01-08",5,1030664,4,1440,4
"362","2018-01-08",6,1030664,50,1440,5
"363","2018-01-08",7,1030664,51,1440,5
"364","2018-01-08",8,1030664,33,1440,3
"365","2018-01-08",9,1030664,44,1440,4
"366","2018-01-08",10,1030664,44,1440,4
"367","2018-01-08",11,1030664,45,1440,4
"368","2018-01-08",12,1030664,39,1440,3
"369","2018-01-09",1,1030664,31,1440,3
"370","2018-01-09",2,1030664,32,1440,3
"371","2018-01-09",3,1030664,27,1440,2
"372","2018-01-09",4,1030664,41,1440,4
"373","2018-01-09",5,1030664,8,1440,8
"374","2018-01-09",6,1030664,24,1440,2
"375","2018-01-09",7,1030664,65,1440,6
"376","2018-01-09",8,1030664,58,1440,5
"377","2018-01-09",9,1030664,32,1440,3
"378","2018-01-09",10,1030664,52,1440,5
"379","2018-01-09",11,1030664,38,1440,3
"380","2018-01-09",12,1030664,49,1440,4
"381","2018-01-10",1,1030664,36,1440,3
"382","2018-01-10",2,1030664,54,1440,5
"383","2018-01-10",3,1030664,29,1440,2
"384","2018-01-10",4,1030664,67,1440,6
"385","2018-01-10",5,1030664,4,1440,4
"386","2018-01-10",6,1030664,108,1440,1
"387","2018-01-10",7,1030664,54,1440,5
"388","2018-01-10",8,1030664,31,1440,3
"389","2018-01-10",9,1030664,48,1440,4
"390","2018-01-10",10,1030664,25,1440,2
"391","2018-01-10",11,1030664,71,1440,7
"392","2018-01-10",12,1030664,20,1440,2
"393","2018-01-11",1,1030664,25,1440,2
"394","2018-01-11",2,1030664,36,1440,3
"395","2018-01-11",3,1030664,22,1440,2
"396","2018-01-11",4,1030664,29,1440,2
"397","2018-01-11",5,1030664,25,1440,2
"398","2018-01-11",6,1030664,41,1440,4
"399","2018-01-11",7,1030664,71,1440,7
"400","2018-01-11",8,1030664,27,1440,2
"401","2018-01-11",9,1030664,58,1440,5
"402","2018-01-11",10,1030664,77,1440,7
"403","2018-01-11",11,1030664,45,1440,4
"404","2018-01-11",12,1030664,54,1440,5
"405","2018-01-12",1,1030664,51,1440,5
"406","2018-01-12",2,1030664,37,1440,3
"407","2018-01-12",3,1030664,25,1440,2
"408","2018-01-12",4,1030664,13,1440,1
"409","2018-01-12",5,1030664,6,1440,6
"410","2018-01-12",6,1030664,45,1440,4
"411","2018-01-12",7,1030664,46,1440,4
"412","2018-01-12",8,1030664,22,1440,2
"413","2018-01-12",9,1030664,33,1440,3
"414","2018-01-12",10,1030664,45,1440,4
"415","2018-01-12",11,1030664,66,1440,6
"416","2018-01-12",12,1030664,39,1440,3
"417","2018-01-13",1,1030664,2,1440,2
"418","2018-01-13",2,1030664,3,1440,3
"419","2018-01-13",3,1030664,4,1440,4
"420","2018-01-13",6,1030664,8,1440,8
"421","2018-01-13",7,1030664,5,1440,5
"422","2018-01-13",10,1030664,3,1440,3
"423","2018-01-13",12,1030664,1,1440,1
"424","2018-01-14",1,1030664,2,1440,2
"425","2018-01-14",2,1030664,2,1440,2
"426","2018-01-14",3,1030664,4,1440,4
"427","2018-01-14",6,1030664,9,1440,9
"428","2018-01-14",7,1030664,4,1440,4
"429","2018-01-14",10,1030664,3,1440,3
"430","2018-01-15",1,1030664,35,1440,3
"431","2018-01-15",2,1030664,33,1440,3
"432","2018-01-15",3,1030664,24,1440,2
"433","2018-01-15",4,1030664,27,1440,2
"434","2018-01-15",5,1030664,7,1440,7
"435","2018-01-15",6,1030664,53,1440,5
"436","2018-01-15",7,1030664,30,1440,3
"437","2018-01-15",8,1030664,39,1440,3
"438","2018-01-15",9,1030664,39,1440,3
"439","2018-01-15",10,1030664,33,1440,3
"440","2018-01-15",11,1030664,47,1440,4
"441","2018-01-15",12,1030664,51,1440,5
"442","2018-01-16",1,1030664,35,1440,3
"443","2018-01-16",2,1030664,37,1440,3
"444","2018-01-16",3,1030664,24,1440,2
"445","2018-01-16",4,1030664,20,1440,2
"446","2018-01-16",5,1030664,8,1440,8
"447","2018-01-16",6,1030664,29,1440,2
"448","2018-01-16",7,1030664,42,1440,4
"449","2018-01-16",8,1030664,16,1440,1
"450","2018-01-16",9,1030664,41,1440,4
"451","2018-01-16",10,1030664,53,1440,5
"452","2018-01-16",11,1030664,28,1440,2
"453","2018-01-16",12,1030664,54,1440,5
"454","2018-01-17",1,1030664,54,1440,5
"455","2018-01-17",2,1030664,63,1440,6
"456","2018-01-17",3,1030664,41,1440,4
"457","2018-01-17",4,1030664,19,1440,1
"458","2018-01-17",5,1030664,7,1440,7
"459","2018-01-17",6,1030664,58,1440,5
"460","2018-01-17",7,1030664,45,1440,4
"461","2018-01-17",8,1030664,25,1440,2
"462","2018-01-17",9,1030664,47,1440,4
"463","2018-01-17",10,1030664,38,1440,3
"464","2018-01-17",11,1030664,67,1440,6
"465","2018-01-17",12,1030664,77,1440,7
